id_plt,id_cohort,id_axis,N_phytomer,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
21,8,T5,5,909,2000,705,705,NA,753.94,853.63,1100,1419.2
21,8,T5,5,909,2000,705,705,NA,753.94,853.63,1100,1419.2
21,8,T5,5,909,2000,705,705,NA,753.94,853.63,1100,1419.2
21,8,T5,5,909,2000,705,705,NA,753.94,853.63,1100,1419.2
21,8,T5,5,911,2000,705,705,NA,753.94,853.63,1100,1419.2
22,1,MS,10,NaN,NaN,110,110,1,-12.362,157.86,550,869.17
22,4,T1,8,NaN,NaN,308,308,1,353.64,488.57,800,1119.2
22,5,T2,7,NaN,NaN,407,407,1,435.64,575.14,950,1269.2
22,6,T3,7,NaN,NaN,507,507,1,533.64,650.95,1000,1319.2
22,6,T3,7,NaN,NaN,507,507,1,533.64,650.95,1000,1319.2
22,7,T4,6,1099,2000,606,606,NA,637.64,749.87,1000,1319.2
22,7,T4,6,1099,2000,606,606,NA,637.64,749.87,1000,1319.2
22,7,T4,6,1101,2000,606,606,NA,637.64,749.87,1000,1319.2
22,8,T5,5,923,2000,705,705,NA,745.64,848.65,1100,1419.2
22,8,T5,5,921,2000,705,705,NA,745.64,848.65,1100,1419.2
22,8,T5,5,923,2000,705,705,NA,745.64,848.65,1100,1419.2
22,8,T5,5,923,2000,705,705,NA,745.64,848.65,1100,1419.2
22,8,T5,5,921,2000,705,705,NA,745.64,848.65,1100,1419.2
23,1,MS,10,NaN,NaN,110,110,1,8.1432,178.37,550,869.17
23,4,T1,7,NaN,NaN,307,307,1,370.14,523.16,800,1119.2
23,5,T2,7,NaN,NaN,407,407,1,444.14,581.38,950,1269.2
23,6,T3,7,NaN,NaN,507,507,1,556.14,667.46,1000,1319.2
23,6,T3,7,NaN,NaN,507,507,1,556.14,667.46,1000,1319.2
23,7,T4,6,NaN,NaN,606,606,1,660.14,765.17,1000,1319.2
23,7,T4,6,NaN,NaN,606,606,1,660.14,765.17,1000,1319.2
